epoch,train_loss,val_loss
0,0.6612719046442133,0.7947158575057983
1,0.631769042836422,0.7702237844467164
2,0.6146364103664052,0.7507158231735229
3,0.5994733070072374,0.7347697496414185
4,0.5858576448910544,0.7212616276741027
5,0.5734719850800254,0.7095849633216857
6,0.562080817644676,0.6993539595603943
7,0.5515094025853718,0.690296368598938
8,0.5416258787424371,0.6822074007987976
9,0.532329032866008,0.6749296140670776
10,0.5235394881102458,0.6683387899398804
11,0.5151938105884352,0.6623360967636108
12,0.507240399789582,0.6568417382240296
13,0.49963696835714094,0.6517909145355225
14,0.49234778145283603,0.6471302509307861
15,0.4853429611790123,0.6428163313865661
16,0.47859690234991925,0.6388120746612549
17,0.47208756122862894,0.6350867867469787
18,0.4657959801158266,0.6316143870353699
19,0.4597053644759803,0.6283730697631836
20,0.45380103901812907,0.6253428745269776
21,0.44807013740950224,0.6225078010559082
22,0.4425011362755698,0.6198532676696777
23,0.43708381983652067,0.6173663973808289
24,0.4318088940456153,0.6150358450412751
25,0.4266681231950459,0.6128516745567322
26,0.42165399196615627,0.6108047616481781
27,0.41675971883335755,0.6088868474960327
28,0.41197905215350067,0.6070908081531524
29,0.4073063343335567,0.6054095852375031
30,0.4027364410852131,0.6038372731208801
31,0.39826453815806995,0.6023680830001831
32,0.39388613866276717,0.6009972715377807
33,0.3895973340746318,0.5997192656993866
34,0.38539426634756574,0.5985299110412597
35,0.38127342165942396,0.5974252581596374
36,0.3772315086360183,0.5964011144638062
37,0.3732655601638356,0.5954540979862213
38,0.3693727736838126,0.594580614566803
39,0.36555032496247,0.5937776935100555
40,0.3617957861799943,0.5930419754981995
41,0.3581068096548747,0.5923709273338318
42,0.3544812510458476,0.5917619562149048
43,0.35091692066648933,0.5912123620510101
44,0.3474119505243438,0.5907198774814606
45,0.3439643993332055,0.5902819502353668
46,0.3405725739218972,0.5898965871334076
47,0.3372346998401806,0.5895621883869171
48,0.3339493924921209,0.5892761778831482
49,0.3307149972071488,0.5890370988845826
