epoch,train_loss,val_loss
0,0.6753763450960223,0.8912798833847045
1,0.43920886972874545,0.8025726890563964
2,0.32342449329686507,0.7709134769439697
3,0.25482026783473183,0.7620237255096436
4,0.2097471322169144,0.7641156768798828
5,0.17773607002491015,0.7710104370117188
6,0.153838221251109,0.7794399261474609
7,0.13534108602829528,0.7876174974441529
8,0.12077487377743971,0.7954868292808532
9,0.10892021591868697,0.8037555050849915
10,0.09910046597987271,0.811259388923645
11,0.09086600723163933,0.8179963517189026
