epoch,train_loss,val_loss
0,1.6299758256907668,1.3928420374635606
1,1.6001006416156531,1.3674397457123268
2,1.570743624388316,1.3425148038961925
3,1.5419086460291485,1.3180749024264515
4,1.513599049531672,1.2941277627204544
5,1.485818745987267,1.2706809099041856
6,1.4585711465497906,1.24774270423688
7,1.431860152328984,1.225320807765238
8,1.4056892577540931,1.20342294880189
9,1.3800618739789754,1.1820570389507339
10,1.3549814594989757,1.1612304117623717
11,1.3304513792672226,1.1409505784045906
12,1.3064746939394463,1.1212240672297775
13,1.2830540686132805,1.1020571499411016
14,1.2601920605846568,1.0834554438479245
15,1.2378905749206908,1.0654237515479326
16,1.216151189005546,1.0479661592282354
17,1.1949748502393658,1.0310858657583595
18,1.1743617485584825,1.0147847652994095
19,1.154311468156331,0.9990637062676251
20,1.1348227319534885,0.9839224818721414
21,1.1158935196662063,0.9693595632538199
22,1.097520719874989,0.9553720919415355
23,1.0797004408813549,0.9419560269266367
24,1.0624276576430034,0.9291058333590627
25,1.0456965853723041,0.9168149420619011
26,1.0295003795167477,0.9050754460692406
27,1.0138313251248958,0.8938783495128155
28,0.9986809554852938,0.8832137464731932
29,0.984039981969806,0.8730707826465368
30,0.9698985027924679,0.8634377668052912
31,0.9562459876092427,0.8543022927641869
32,0.9430714760100443,0.8456517206132412
33,0.9303635375921806,0.8374727629125118
34,0.918110512660451,0.8297516269981862
35,0.9063006297252966,0.822474898248911
36,0.8949217950328116,0.8156284728646278
37,0.8839620083713076,0.8091985285282135
38,0.8734091531717035,0.803171170949936
39,0.8632512183851032,0.7975325500965118
40,0.8534762557043413,0.7922688946127892
41,0.8440724651208905,0.7873666712641716
42,0.835028162983616,0.7828125938773155
43,0.8263317905544665,0.7785931289196014
44,0.8179720332177632,0.7746954429149627
45,0.8099377440493642,0.7711065596342087
46,0.8022178765118978,0.7678138899803162
47,0.7948017291475141,0.7648047697544098
48,0.7876786792107175,0.7620670819282531
49,0.7808383925679768,0.7595886188745499
