epoch,train_loss,val_loss
0,0.7651613279107655,0.48304831743240356
1,0.6097974748702711,0.4502269959449768
2,0.5250779604227349,0.4497210168838501
3,0.4691842614748832,0.4593055868148804
4,0.42815798021959917,0.47229732990264894
5,0.3957500747231205,0.4862668466567993
6,0.36890931962209456,0.5003412914276123
7,0.34600503150926254,0.5142251205444336
8,0.3260732318796039,0.5278243106603623
9,0.3084886011324431,0.5411089271306991
10,0.2928148321272654,0.5540714287757873
11,0.2787305875258012,0.56670982837677
12,0.2659895378721958,0.5790262389183044
13,0.2543975040673069,0.5910263746976853
14,0.2437980468763689,0.6027151656150818
15,0.23406345992567437,0.6141015821695328
16,0.22508735890593826,0.6251962587237359
17,0.21678103185726694,0.6360093718767166
18,0.20906924616777156,0.6465520983934403
19,0.20188826194220183,0.6568358695507049
20,0.19518297939209275,0.6668713641166687
21,0.18890614736308323,0.6766696801781654
22,0.1830166559755517,0.6862413972616196
23,0.17747859628291793,0.6955950313806534
24,0.1722605823757546,0.7047423061728477
