epoch,train_loss,val_loss
0,0.6997822605822075,0.8973739767074584
1,0.6952466117708307,0.895170783996582
2,0.6909065064060631,0.8914359951019287
3,0.6867093623540048,0.8875670719146729
4,0.6826483814054699,0.8837861824035644
5,0.6787161365080108,0.8801228904724121
6,0.6749053876936151,0.8765757751464843
7,0.6712092848485737,0.8731389904022216
8,0.6676213533114018,0.8698058128356934
9,0.6641356943611894,0.8665705871582031
10,0.6607467590621784,0.8634275913238525
11,0.6574493121872679,0.8603717613220215
12,0.654238595061325,0.8573982429504394
13,0.6511101655697709,0.8545028257369995
14,0.6480597927809902,0.8516814136505126
15,0.6450835929818131,0.8489303207397461
16,0.6421779918898806,0.8462459182739258
17,0.6393395725049471,0.8436250209808349
18,0.6365652238353018,0.8410647201538086
19,0.6338519770562934,0.8385621166229248
20,0.631197049572137,0.8361148595809936
21,0.6285978835165216,0.833720269203186
22,0.6260520596253244,0.8313762187957764
23,0.623557296666232,0.8290806388854981
24,0.6211114508683602,0.826831488609314
25,0.618712542730085,0.8246269798278809
26,0.616358664617584,0.8224654245376587
27,0.6140479993021659,0.8203452444076538
28,0.611778961699545,0.8182648754119873
29,0.6095498840204266,0.8162229156494141
30,0.6073593003898146,0.8142180871963501
31,0.6052057648959913,0.8122490119934082
32,0.6030879642404438,0.8103146457672119
33,0.6010046179214733,0.8084137916564942
34,0.5989545284275803,0.8065453338623046
35,0.5969365256254753,0.8047084903717041
36,0.5949495289314306,0.8029020166397095
37,0.5929925185071224,0.8011253547668457
38,0.5910644870625729,0.7993774032592773
39,0.5891644820642243,0.7976574993133545
40,0.5872916664803427,0.7959648561477661
41,0.5854451120184939,0.7942988348007202
42,0.583624045529434,0.792658634185791
43,0.5818276932935396,0.7910435438156128
44,0.5800552967062407,0.789453182220459
45,0.5783061573379918,0.7878868389129638
46,0.5765795990040428,0.7863438034057617
47,0.5748749497974889,0.7848236894607544
48,0.5731915951345525,0.7833260440826416
49,0.5715289423910624,0.7818502378463745
